Timestamp,Row,Col,x,y,z,distance,IMU_x,IMU_y,IMU_z,IMU_roll,IMU_pitch,IMU_yaw,LiDAR_x,LiDAR_y,LiDAR_z,LiDAR_roll,LiDAR_pitch,LiDAR_yaw,EKF_x,EKF_y,EKF_z,EKF_roll,EKF_pitch,EKF_yaw
70173,1,3,2725.42,162.10,1055.92,2717,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,1,4,2745.65,-140.56,1022.48,2717,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,1,5,539.08,-171.02,515.47,542,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,1,6,520.63,-229.18,503.95,520,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,1,7,516.66,-291.27,495.24,512,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,2,0,2619.05,1149.75,839.78,2693,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,2,1,2679.06,825.82,808.29,2731,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,2,2,2689.51,503.26,771.41,2720,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,2,3,2753.11,201.13,742.88,2763,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,2,4,2766.61,-106.63,708.09,2756,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,2,5,2780.27,-416.74,673.05,2749,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,2,6,520.18,-223.37,443.20,523,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,2,7,519.39,-287.01,435.61,518,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,3,0,2633.56,1197.91,537.38,2726,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,3,1,2641.64,851.66,499.15,2711,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,3,2,2676.71,537.18,464.39,2725,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,3,3,2720.16,232.57,430.70,2748,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,3,4,2751.65,-73.42,396.88,2759,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,3,5,2822.98,-389.79,361.86,2809,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,3,6,522.88,-218.39,383.99,529,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,3,7,514.98,-280.42,377.15,517,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,4,0,2609.25,1226.89,233.85,2719,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,4,1,2645.61,891.89,195.24,2733,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,4,2,2687.63,576.72,158.02,2754,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,4,3,2719.28,267.51,122.61,2765,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
70173,4,4,2749.83,-40.27,87.46,2775,10.01,-12.56,557.63,-1.90,0.21,-1.42,-17.06,-106.31,390.28,7.08,3.11,4.67,-15.89,-102.23,397.56,6.30,2.86,4.14
